field,source_value,source_valid,protocol_code,flag_bit,decoded_value,decoded_valid,absolute_error/tolerance,passed
lat,48.3902,True,3224725,0,48.390216443590276,True,0.3832,True
lon,9.4747,True,2207540,1,9.474723213845039,True,0.2705,True
altitude,11887.2,True,12887,2,11887.0,True,0.2000,True
speed,241.82,True,2418,3,241.8,True,0.2000,True
heading,152.78,True,15278,4,152.78,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,UPS266,True,,6,UPS266,True,,True
timestamp,1786673155,True,,,1786673155,True,,True
lat,45.5435,True,3158392,0,45.543512235525185,True,0.2851,True
lon,5.0463,True,2155945,1,5.046287786075538,True,0.1423,True
altitude,10972.8,True,11973,2,10973.0,True,0.2000,True
speed,256.15,True,2561,3,256.1,True,0.5000,True
heading,109.96,True,10996,4,109.96000000000001,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,UAE4M,True,,6,UAE4M,True,,True
timestamp,1786673154,True,,,1786673154,True,,True
lat,47.5864,True,3205995,0,47.58641185436531,True,0.2762,True
lon,7.5318,True,2184903,1,7.531773455565798,True,0.3093,True
altitude,,False,,,,False,,True
speed,12.35,True,123,3,12.3,True,0.5000,True
heading,300.94,True,30094,4,300.94,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,M02,True,,6,M02,True,,True
timestamp,1786673154,True,,,1786673154,True,,True
lat,48.9159,True,3236974,0,48.91588662049452,True,0.3118,True
lon,9.0408,True,2202484,1,9.040763149443421,True,0.4293,True
altitude,11582.4,True,12582,2,11582.0,True,0.4000,True
speed,228.42,True,2284,3,228.4,True,0.2000,True
heading,300.9,True,30090,4,300.90000000000003,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,TOM8VC,True,,6,TOM8VC,True,,True
timestamp,1786673154,True,,,1786673154,True,,True
lat,48.6854,True,3231603,0,48.6853882516356,True,0.2738,True
lon,9.2005,True,2204345,1,9.200494098781121,True,0.0688,True
altitude,,False,,,,False,,True
speed,1.29,True,13,3,1.3,True,0.1000,True
heading,70.31,True,7031,4,70.31,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,F172,True,,6,F172,True,,True
timestamp,1786673142,True,,,1786673142,True,,True
lat,49.3885,True,3247987,0,49.38851341927369,True,0.3127,True
lon,11.6329,True,2232685,1,11.63293639014637,True,0.4240,True
altitude,12192,True,13192,2,12192.0,True,0.0000,True
speed,244.2,True,2442,3,244.20000000000002,True,0.0000,True
heading,293.59,True,29359,4,293.59000000000003,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,QFA219,True,,6,QFA219,True,,True
timestamp,1786673154,True,,,1786673154,True,,True
lat,48.5581,True,3228637,0,48.558101310277294,True,0.0305,True
lon,6.2995,True,2170546,1,6.299501967311386,True,0.0229,True
altitude,11887.2,True,12887,2,11887.0,True,0.2000,True
speed,233.12,True,2331,3,233.10000000000002,True,0.2000,True
heading,181.52,True,18152,4,181.52,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,SRR6382,True,,6,SRR6382,True,,True
timestamp,1786673154,True,,,1786673154,True,,True
lat,45.7544,True,3163306,0,45.75439828739124,True,0.0399,True
lon,8.7707,True,2199338,1,8.770739739117545,True,0.4630,True
altitude,3429,True,4429,2,3429.0,True,0.0000,True
speed,180.12,True,1801,3,180.10000000000002,True,0.2000,True
heading,147.72,True,14772,4,147.72,True,0.0000,True
vertical_rate,-6.83,True,32085,5,-6.829999999999984,True,0.0000,True
callsign,BCS6GA,True,,6,BCS6GA,True,,True
timestamp,1786673154,True,,,1786673154,True,,True
lat,47.4577,True,3202996,0,47.45770870630949,True,0.2029,True
lon,8.5626,True,2196913,1,8.562600269937576,True,0.0031,True
altitude,,False,,,,False,,True
speed,2.83,True,28,3,2.8000000000000003,True,0.3000,True
heading,272.81,True,27281,4,272.81,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,VIKTOR21,True,,6,VIKTOR21,True,,True
timestamp,1786673153,True,,,1786673153,True,,True
lat,47.4581,True,3203005,0,47.45809494449972,True,0.1178,True
lon,8.5502,True,2196769,1,8.550240647850188,True,0.4736,True
altitude,,False,,,,False,,True
speed,3.6,True,36,3,3.6,True,0.0000,True
heading,275.62,True,27562,4,275.62,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,GALA6,True,,6,GALA6,True,,True
timestamp,1786673154,True,,,1786673154,True,,True
lat,47.4409,True,3202604,0,47.44088588735721,True,0.3288,True
lon,8.5619,True,2196905,1,8.561913624266055,True,0.1587,True
altitude,,False,,,,False,,True
speed,2.83,True,28,3,2.8000000000000003,True,0.3000,True
heading,22.5,True,2250,4,22.5,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,VIKTOR31,True,,6,VIKTOR31,True,,True
timestamp,1786673139,True,,,1786673139,True,,True
lat,47.458,True,3203003,0,47.45800911379078,True,0.2124,True
lon,8.5506,True,2196773,1,8.550583970685949,True,0.1868,True
altitude,,False,,,,False,,True
speed,4.63,True,46,3,4.6000000000000005,True,0.3000,True
heading,278.44,True,27844,4,278.44,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,GALA21,True,,6,GALA21,True,,True
timestamp,1786673149,True,,,1786673149,True,,True
lat,47.4568,True,3202975,0,47.45680748386562,True,0.1744,True
lon,8.5628,True,2196915,1,8.562771931355456,True,0.3270,True
altitude,,False,,,,False,,True
speed,0.26,True,3,3,0.30000000000000004,True,0.4000,True
heading,300.94,True,30094,4,300.94,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,URSULA8,True,,6,URSULA8,True,,True
timestamp,1786673153,True,,,1786673153,True,,True
lat,47.9068,True,3213461,0,47.90681789083908,True,0.4169,True
lon,8.0877,True,2191380,1,8.087698957371487,True,0.0121,True
altitude,10972.8,True,11973,2,10973.0,True,0.2000,True
speed,229.54,True,2295,3,229.5,True,0.4000,True
heading,225.45,True,22545,4,225.45000000000002,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,ENT1511,True,,6,ENT1511,True,,True
timestamp,1786673155,True,,,1786673155,True,,True
lat,46.8991,True,3189979,0,46.89907953717221,True,0.4768,True
lon,11.2504,True,2228228,1,11.250388920399871,True,0.1291,True
altitude,9883.14,True,10883,2,9883.0,True,0.1400,True
speed,244.26,True,2443,3,244.3,True,0.4000,True
heading,222.87,True,22287,4,222.87,True,0.0000,True
vertical_rate,-8.13,True,31955,5,-8.129999999999995,True,0.0000,True
callsign,MACOR,True,,6,MACOR,True,,True
timestamp,1786673154,True,,,1786673154,True,,True
lat,49.3817,True,3247828,0,49.38168987791295,True,0.2359,True
lon,10.8344,True,2223381,1,10.834367474166726,True,0.3790,True
altitude,10363.2,True,11363,2,10363.0,True,0.2000,True
speed,243.21,True,2432,3,243.20000000000002,True,0.1000,True
heading,288.63,True,28863,4,288.63,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,THY6091,True,,6,THY6091,True,,True
timestamp,1786673154,True,,,1786673154,True,,True
lat,47.8922,True,3213120,0,47.892183754964776,True,0.3785,True
lon,7.5863,True,2185538,1,7.5862759557428205,True,0.2801,True
altitude,11277.6,True,12278,2,11278.0,True,0.4000,True
speed,259.27,True,2593,3,259.3,True,0.3000,True
heading,104.01,True,10401,4,104.01,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,ETD2,True,,6,ETD2,True,,True
timestamp,1786673154,True,,,1786673154,True,,True
lat,46.5527,True,3181908,0,46.552709711244034,True,0.2263,True
lon,5.7932,True,2164647,1,5.793186615273129,True,0.1559,True
altitude,11277.6,True,12278,2,11278.0,True,0.4000,True
speed,224.65,True,2247,3,224.70000000000002,True,0.5000,True
heading,200.51,True,20051,4,200.51,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,EWG40C,True,,6,EWG40C,True,,True
timestamp,1786673154,True,,,1786673154,True,,True
lat,48.7181,True,3232365,0,48.71808975174184,True,0.2388,True
lon,9.474,True,2207532,1,9.474036568173517,True,0.4260,True
altitude,11582.4,True,12582,2,11582.0,True,0.4000,True
speed,222.93,True,2229,3,222.9,True,0.3000,True
heading,302.37,True,30237,4,302.37,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,GAV596,True,,6,GAV596,True,,True
timestamp,1786673153,True,,,1786673153,True,,True
lat,49.244,True,3244620,0,49.24401742077288,True,0.4059,True
lon,10.6347,True,2221055,1,10.634725245171836,True,0.2941,True
altitude,5189.22,True,6189,2,5189.0,True,0.2200,True
speed,186.49,True,1865,3,186.5,True,0.1000,True
heading,248.81,True,24881,4,248.81,True,0.0000,True
vertical_rate,10.08,True,33776,5,10.079999999999984,True,0.0000,True
callsign,EWG53L,True,,6,EWG53L,True,,True
timestamp,1786673153,True,,,1786673153,True,,True
lat,45.9506,True,3167878,0,45.95060728802855,True,0.1698,True
lon,11.2781,True,2228551,1,11.278112239387553,True,0.1426,True
altitude,13716,True,14716,2,13716.0,True,0.0000,True
speed,255.47,True,2555,3,255.5,True,0.3000,True
heading,118.11,True,11811,4,118.11,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,N950MP,True,,6,N950MP,True,,True
timestamp,1786673154,True,,,1786673154,True,,True
lat,45.7174,True,3162444,0,45.71740525183802,True,0.1224,True
lon,5.0917,True,2156474,1,5.091692231104901,True,0.0905,True
altitude,,False,,,,False,,True
speed,5.66,True,57,3,5.7,True,0.4000,True
heading,171.56,True,17156,4,171.56,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,LA2,True,,6,LA2,True,,True
timestamp,1786673155,True,,,1786673155,True,,True
lat,47.4443,True,3202684,0,47.44431911571482,True,0.4454,True
lon,8.5674,True,2196969,1,8.567406789638227,True,0.0791,True
altitude,,False,,,,False,,True
speed,0.26,True,3,3,0.30000000000000004,True,0.4000,True
heading,244.69,True,24469,4,244.69,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,SWR7DC,True,,6,SWR7DC,True,,True
timestamp,1786673098,True,,,1786673098,True,,True
lat,48.3811,True,3224513,0,48.381118388442616,True,0.4285,True
lon,9.4818,True,2207622,1,9.481761331978134,True,0.4505,True
altitude,11887.2,True,12887,2,11887.0,True,0.2000,True
speed,241.82,True,2418,3,241.8,True,0.2000,True
heading,152.78,True,15278,4,152.78,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,UPS266,True,,6,UPS266,True,,True
timestamp,1786673159,True,,,1786673159,True,,True
lat,45.5396,True,3158301,0,45.539606938268406,True,0.1617,True
lon,5.0616,True,2156123,1,5.061565652266893,True,0.4002,True
altitude,10972.8,True,11973,2,10973.0,True,0.2000,True
speed,255.67,True,2557,3,255.70000000000002,True,0.3000,True
heading,110,True,11000,4,110.0,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,UAE4M,True,,6,UAE4M,True,,True
timestamp,1786673159,True,,,1786673159,True,,True
lat,47.5871,True,3206011,0,47.58709850003683,True,0.0350,True
lon,7.5312,True,2184896,1,7.5311726406032165,True,0.3188,True
altitude,,False,,,,False,,True
speed,18.52,True,185,3,18.5,True,0.2000,True
heading,334.69,True,33469,4,334.69,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,M02,True,,6,M02,True,,True
timestamp,1786673159,True,,,1786673159,True,,True
lat,48.9207,True,3237086,0,48.92069314019517,True,0.1598,True
lon,9.0286,True,2202342,1,9.028575188773914,True,0.2891,True
altitude,11582.4,True,12582,2,11582.0,True,0.4000,True
speed,228.42,True,2284,3,228.4,True,0.2000,True
heading,300.9,True,30090,4,300.90000000000003,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,TOM8VC,True,,6,TOM8VC,True,,True
timestamp,1786673158,True,,,1786673158,True,,True
lat,48.6854,True,3231603,0,48.6853882516356,True,0.2738,True
lon,9.2005,True,2204345,1,9.200494098781121,True,0.0688,True
altitude,,False,,,,False,,True
speed,1.29,True,13,3,1.3,True,0.1000,True
heading,70.31,True,7031,4,70.31,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,F172,True,,6,F172,True,,True
timestamp,1786673142,True,,,1786673142,True,,True
lat,49.3929,True,3248089,0,49.39289078542964,True,0.2147,True
lon,11.6172,True,2232502,1,11.617229370410314,True,0.3422,True
altitude,12184.38,True,13184,2,12184.0,True,0.3800,True
speed,244.2,True,2442,3,244.20000000000002,True,0.0000,True
heading,293.59,True,29359,4,293.59000000000003,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,QFA219,True,,6,QFA219,True,,True
timestamp,1786673159,True,,,1786673159,True,,True
lat,48.5472,True,3228383,0,48.54720081024189,True,0.0189,True
lon,6.2991,True,2170541,1,6.299072813766685,True,0.3167,True
altitude,11887.2,True,12887,2,11887.0,True,0.2000,True
speed,233.64,True,2336,3,233.60000000000002,True,0.4000,True
heading,181.51,True,18151,4,181.51,True,0.0000,True
vertical_rate,0,True,32768,5,0.0,True,0.0000,True
callsign,SRR6382,True,,6,SRR6382,True,,True
timestamp,1786673160,True,,,1786673160,True,,True
lat,45.7476,True,3163148,0,45.747617661384965,True,0.4115,True
lon,8.7767,True,2199407,1,8.776662058034418,True,0.4421,True
altitude,3398.52,True,4399,2,3399.0,True,0.4800,True
speed,176.54,True,1765,3,176.5,True,0.4000,True
heading,148.95,True,14895,4,148.95000000000002,True,0.0000,True
vertical_rate,-6.5,True,32118,5,-6.5,True,0.0000,True
callsign,BCS6GA,True,,6,BCS6GA,True,,True
timestamp,1786673159,True,,,1786673159,True,,True
lat,47.4577,True,3202996,0,47.45770870630949,True,0.2029,True
lon,8.5625,True,2196912,1,8.562514439228636,True,0.1682,True
altitude,,False,,,,False,,True
speed,2.83,True,28,3,2.8000000000000003,True,0.3000,True
heading,272.81,True,27281,4,272.81,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,VIKTOR21,True,,6,VIKTOR21,True,,True
timestamp,1786673156,True,,,1786673156,True,,True
lat,47.4581,True,3203005,0,47.45809494449972,True,0.1178,True
lon,8.5499,True,2196765,1,8.549897325014427,True,0.0312,True
altitude,,False,,,,False,,True
speed,4.12,True,41,3,4.1000000000000005,True,0.2000,True
heading,275.62,True,27562,4,275.62,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,GALA6,True,,6,GALA6,True,,True
timestamp,1786673159,True,,,1786673159,True,,True
lat,47.441,True,3202607,0,47.44101463342062,True,0.3410,True
lon,8.5624,True,2196911,1,8.562428608519696,True,0.3333,True
altitude,,False,,,,False,,True
speed,2.83,True,28,3,2.8000000000000003,True,0.3000,True
heading,154.69,True,15469,4,154.69,True,0.0000,True
vertical_rate,,False,,,,False,,True
callsign,VIKTOR31,True,,6,VIKTOR31,True,,True
timestamp,1786673158,True,,,1786673158,True,,True
lat,47.458,True,3203003,0,47.45800911379078,True,0.2124,True
lon,8.5502,True,2196769,1,8.550240647850188,True,0.4736,True
altitude,,False,,,,False,,True
speed,4.37,True,44,3,4.4,True,0.3000,True
heading,275.62,True,27562,4,275.62,True,0.0000,True
vertical_rate,,False,,,,False,,True
